,name,info,image
142,ВиноМюскадеСеврЭМэнСюрЛиШатоДеЛаМушетьебелоесухое,"Франция, 0.75 л., Долина Луары, 12%",ВиноМюскадеСеврЭМэнСюрЛиШатоДеЛаМушетьебелоесухое.png
143,ВиноКальдораСанджовезеМерлокрасноеполусухое,"Италия, 0.75 л., Абруццо, 13.5%",ВиноКальдораСанджовезеМерлокрасноеполусухое.png
144,ВиноМирониКиндзмарауликрасноеполусладкое,"Грузия, 0.75 л., Кахети, 12%",ВиноМирониКиндзмарауликрасноеполусладкое.png
145,ВиноМукузаниБадагоникрасноесухое,"Грузия, 0.75 л., Кахети, 13%",ВиноМукузаниБадагоникрасноесухое.png
146,ВиноМеццакоронаДелизаПиноГриджиоРозерозовоесухое,"Италия, 0.75 л., Трентино-Альто Адидже, 12.5%",ВиноМеццакоронаДелизаПиноГриджиоРозерозовоесухое.png
147,ВиноСтПьердеСержакРенессансЛангедокAOПкрасноесухое,"Франция, 0.75 л., Лангедок Руссийон, 13.5%",ВиноСтПьердеСержакРенессансЛангедокAOПкрасноесухое.png
148,ВиноСтеммариПиноГриджиоСицилияIGTбелоесухое,"Италия, 0.75 л., Сицилия, 13%",ВиноСтеммариПиноГриджиоСицилияIGTбелоесухое.png
149,ВиноСтеммариМоскатоСицилияIGTбелоесладкое,"Италия, 0.75 л., Сицилия, 8.5%",ВиноСтеммариМоскатоСицилияIGTбелоесладкое.png
150,ПортвейнГравурашдуКоаПортоРубикрасныйсладкий,"Португалия, 0.75 л., Дору, 19%",ПортвейнГравурашдуКоаПортоРубикрасныйсладкий.png
151,ВиноГармонияВинарияВерабелоесухое,"Босния и Герцеговина, 0.75 л., Требинье, 13.5%",ВиноГармонияВинарияВерабелоесухое.png
152,ВиноМасетДельЛьеоГарначаНеграЭдисьонЛемитадакрасноесухое,"Испания, 0.75 л., Каталония, 14%",ВиноМасетДельЛьеоГарначаНеграЭдисьонЛемитадакрасноесухое.png
153,ВиноУмбрияБланИльдеБотеКазановабелоесухое,"Франция, 0.75 л., Корсика, 12%",ВиноУмбрияБланИльдеБотеКазановабелоесухое.png
154,ВиноУмбрияРужИльдеБотеКазановакрасноесухое,"Франция, 0.75 л., Корсика, 12.5%",ВиноУмбрияРужИльдеБотеКазановакрасноесухое.png
155,ВиноТенутеДельНеччиоКьянтиРизервакрасноесухое,"Италия, 0.75 л., Тоскана, 13%",ВиноТенутеДельНеччиоКьянтиРизервакрасноесухое.png
156,ВиноБастиониДеллаРоккаАппассиментоАпулияIGTкрасноеполусухое,"Италия, 0.75 л., Апулия, 15%",ВиноБастиониДеллаРоккаАппассиментоАпулияIGTкрасноеполусухое.png
157,ВиноННивариусРиохаDOCбелоесухое,"Испания, 0.75 л., Риоха, 13.5%",ВиноННивариусРиохаDOCбелоесухое.png
158,ВиноГалеонеПримитивоМерлоРозеАпулиярозовоеполусухое,"Италия, 0.75 л., Апулия, 12.5%",ВиноГалеонеПримитивоМерлоРозеАпулиярозовоеполусухое.png
159,ВиноБаудрельиВиорМальбекрезервавыдержанноесортовоекрасноесухое,"Аргентина, 0.75 л., Мендоса, 13.5%",ВиноБаудрельиВиорМальбекрезервавыдержанноесортовоекрасноесухое.png
160,ВиноШлоссСаарштайнРислингМозельбелоеполусладкое,"Германия, 0.75 л., Мозель, 11.5%",ВиноШлоссСаарштайнРислингМозельбелоеполусладкое.png
161,ВиноМирлаБэйПиноНуаркрасноесухое,"Чили, 0.75 л., Долина Лейда, 12.5%",ВиноМирлаБэйПиноНуаркрасноесухое.png
162,ВиноМирлаБэйСовиньонБланбелоесухое,"Чили, 0.75 л., Долина Лейда, 12.5%",ВиноМирлаБэйСовиньонБланбелоесухое.png
163,ВиноМарселиноРесерваРиохаДОКакрасноесухое,"Испания, 0.75 л., Риоха, 13.5%",ВиноМарселиноРесерваРиохаДОКакрасноесухое.png
164,ВиноГранПасасЙеклаМонастрельМурсиякрасноеполусухое,"Испания, 0.75 л., Йекла, 14%",ВиноГранПасасЙеклаМонастрельМурсиякрасноеполусухое.png
165,ВиноКьянтиРизервакрасноеполусухое,"Италия, 0.75 л., Тоскана, 13%",ВиноКьянтиРизервакрасноеполусухое.png
166,ВиноСаперавиВинивериякрасноесухое,"Грузия, 0.75 л., 13%",ВиноСаперавиВинивериякрасноесухое.png
167,ВиноПримитивоПулияЭпикурокрасноеполусухое,"Италия, 0.75 л., Апулия, 14%",ВиноПримитивоПулияЭпикурокрасноеполусухое.png
168,ВиноКисиВинивериябелоесухое,"Грузия, 0.75 л., 12.5%",ВиноКисиВинивериябелоесухое.png
169,ВиноБаристаПинотажкрасноесухое,"ЮАР, 0.75 л., Вестерн Кейп, 13%",ВиноБаристаПинотажкрасноесухое.png
